"Number_of_Restaurants","City","State","Income_Mean","Income_Median"
2,"Fort Lauderdale","FL",61297.470588235294,61552
1,"Sulphur","LA",61212.6,43936.8
3,"San Antonio","TX",61195.11851851852,76895.44444444444
2,"Auburn Hills","MI",61089.333333333336,50015.333333333336
9,"Nashville","TN",61077.97777777777,86660.6
1,"Sparks","NV",61020,112890.23076923077
2,"Clarion","PA",61018,300000
1,"Des Moines","IA",60983.96153846154,74831
1,"Abingdon","VA",60952.5,47182.5
1,"Petersburg","IL",60940,54607
1,"Greensburg","PA",60879.2,98843.2
1,"Humble","TX",60879,111415.75
1,"Schuylkill Haven","PA",60827,51372.5
1,"Grand Island","NE",60752.833333333336,50381.5
1,"Goshen","IN",60647.333333333336,135387.66666666666
3,"Canonsburg","PA",60630.5,48354.5
2,"Myrtle Beach","SC",60626.25,47438.5
1,"Dover","DE",60621,143407.6
2,"Antioch","CA",60612.5,87696
3,"Ames","IA",60589.80000000001,55986
2,"Omaha","NE",60543.8253968254,83962.8253968254
1,"Brookville","OH",60486.5,52728
2,"Freeport","IL",60474.8,96537.2
1,"Asheville","NC",60457.1,95030.6
1,"Jamestown","ND",60445,47129.5
1,"Frankfort","KY",60424.5,52375.333333333336
1,"Bridgeville","PA",60410,50601
1,"Ontario","CA",60365.692307692305,71871.69230769231
1,"Bossier City","LA",60339.5,168520.25
1,"Lapeer","MI",60339.333333333336,50457.333333333336
2,"Martinsburg","WV",60329.166666666664,93205
2,"Reynoldsburg","OH",60301.8,102368.6
1,"Mishawaka","IN",60252.4,52253
1,"Thomasville","NC",60183,52535.5
1,"Ridgeland","MS",60175,172191
1,"Grinnell","IA",60173.5,169611.5
2,"Grove City","OH",60118.57142857143,55180.71428571428
4,"Pompano Beach","FL",60104.2,46169.8
1,"Moorhead","MN",60101.8,49048.8
1,"Pontiac","IL",60099,51962
1,"Carrollton","GA",60065.333333333336,45336.666666666664
1,"Norristown","PA",59990.28571428572,81226.42857142857
2,"Decatur","GA",59983.166666666664,68817.08333333333
1,"Selah","WA",59971,42944
1,"Winterville","NC",59956,62242
1,"North Miami Beach","FL",59943.75,114780.25
2,"Belvidere","IL",59932.333333333336,50325.333333333336
2,"Lebanon","TN",59855.333333333336,120834.66666666667
1,"Chino Hills","CA",59836,46521
1,"Victoria","TX",59764.25,76369
1,"Kalispell","MT",59749.5,52521
1,"Wharton","TX",59737,48904
1,"Batavia","OH",59723.2,51310.8
1,"White House","TN",59668,50339
2,"Oshkosh","WI",59641.75,81239.125
2,"Bloomington","IN",59621.083333333336,67424.75
3,"Massillon","OH",59565.333333333336,52055.11111111111
1,"Pontiac","MI",59548.4,46982.2
1,"Willows","CA",59532,40422
2,"Panama City","FL",59462.875,78969.125
1,"Cape Coral","FL",59442.61538461538,85313.23076923077
1,"Mansfield","PA",59399.5,49068.5
1,"Jessup","MD",59387,300000
5,"Bakersfield","CA",59350.868421052626,89388.44736842105
4,"Salem","OR",59294.692307692305,48855.307692307695
1,"Portage","IN",59247.75,46402.25
1,"Harlan","IA",59218,112742.5
1,"Kearney","NE",59137.666666666664,50816
1,"Faribault","MN",59060.333333333336,50686.333333333336
1,"Snow Shoe","PA",59040,49778
6,"Baton Rouge","LA",58993.17142857143,69642.31428571428
1,"Alexandria","MN",58920.5,46120.5
1,"Quincy","IL",58896.833333333336,83411.66666666667
1,"Farmville","NC",58838,42893
1,"Coffeyville","KS",58825.5,44839.5
2,"Paris","TX",58783.333333333336,48423.333333333336
2,"Kingman","AZ",58772,206962.66666666666
2,"North Augusta","SC",58700.333333333336,122770.33333333333
4,"Fontana","CA",58646.38461538462,85852.46153846153
1,"Richton Park","IL",58622,47808.666666666664
5,"Canton","OH",58607.1875,75983.1875
8,"Spokane","WA",58531.964285714275,84426.71428571429
11,"Orlando","FL",58527.93478260869,52459.63043478261
1,"Norman","OK",58510.583333333336,84925
1,"Melbourne","FL",58459,84960.83333333333
2,"Eau Claire","WI",58446.42857142857,85535.85714285714
1,"Old Hickory","TN",58394,300000
2,"Wichita","KS",58381.295454545456,67845.68181818182
2,"East Peoria","IL",58379,45209
1,"Modesto","CA",58324.90476190476,105321.47619047618
2,"El Monte","CA",58231.63636363636,66734.09090909091
1,"Cape Girardeau","MO",58216.6,85351.6
2,"Hollywood","FL",58189.153846153844,104066.61538461539
1,"Spanish Fork","UT",58123.666666666664,130742.66666666667
1,"Mankato","MN",58107.8,43715.6
1,"Winamac","IN",57984,300000
1,"Owensboro","KY",57953.625,78128.125
1,"Crescent City","CA",57953,49913
1,"Enid","OK",57930.833333333336,88670.33333333333
1,"Morgan City","LA",57901.333333333336,126886.33333333333
2,"Milton","FL",57852.166666666664,49662
2,"Battle Creek","MI",57822.153846153844,65382.53846153846
1,"Hutchinson","KS",57819.8,44120
1,"Borger","TX",57815,51191.666666666664
1,"Princeton","TX",57765,58511
1,"Machesney Park","IL",57757.6,48832
6,"Fresno","CA",57730.14893617021,65852.14893617021
1,"Lumberton","NC",57678.875,44386.25
2,"Athens","GA",57656.6,45459.2
2,"Gresham","OR",57625.5,91960.66666666667
2,"Tampa","FL",57624.756410256414,76252.21794871795
1,"Independence","MO",57612.2,75763.7
1,"Murray","KY",57602.5,42116
1,"Redding","CA",57592.9,44433.1
20,"Phoenix","AZ",57559.19200000002,64688.736
1,"Lady Lake","FL",57486,51663
2,"Marion","OH",57435.166666666664,48878.666666666664
1,"Elkton","MD",57425,45757
3,"Rochester","NY",57411.42372881356,78518.86440677966
2,"Eugene","OR",57379.05882352941,102514.76470588235
1,"Dublin","VA",57310.25,46797.25
1,"Grandville","MI",57304,54404
1,"Dixon","IL",57282.5,49904
1,"Cuyahoga Falls","OH",57269.833333333336,94225.33333333333
1,"Corvallis","OR",57260,69572.77777777778
1,"New Iberia","LA",57241,91081.4
2,"Mesquite","TX",57218.416666666664,68213
1,"Waterloo","IA",57186.25,49727.25
1,"Astoria","OR",57163.5,48724.5
1,"Grand Blanc","MI",57134.5,104231.25
2,"Salisbury","NC",57025.2,45684.8
2,"Clarksville","TN",57012.5,91596.75
1,"High Point","NC",56975.5,70267.33333333333
2,"Mason","OH",56968.4,41589.4
1,"Waynesboro","PA",56958.333333333336,129271.33333333333
4,"Albany","NY",56957.21428571428,131951.57142857142
1,"San Luis Obispo","CA",56946.2,94733.4
2,"Apopka","FL",56894.833333333336,43891.5
1,"Vinita","OK",56822,43567
3,"Lynchburg","VA",56810.125,80540.875
1,"Lavonia","GA",56790.666666666664,43575.333333333336
1,"Grover Beach","CA",56701,300000
3,"Tulsa","OK",56694.95454545455,56594.34090909091
1,"Smithville","TN",56662.666666666664,35240.666666666664
1,"Maryville","TN",56525,45569.6
1,"Springfield","IL",56501.529411764706,45766.94117647059
1,"Tiffin","OH",56484.5,48760.25
1,"Newland","NC",56456,42270
1,"Lakeland","FL",56450.76190476191,58622.80952380953
1,"Gallipolis","OH",56429.5,41911
1,"Keego Harbor","MI",56428,42532
1,"Chicopee","MA",56342,50183.75
1,"Mount Vernon","IL",56322,47509.5
4,"Norfolk","VA",56312.96296296296,73373.81481481482
1,"Marion","IL",56295.666666666664,45605.333333333336
1,"Montgomery","AL",56275.04761904762,91560.57142857143
4,"Kissimmee","FL",56263.5,44080.875
1,"Lawndale","CA",56150.25,109943.25
1,"Dinuba","CA",56137,41066
1,"Plant City","FL",56040.6,92414.2
19,"Tucson","AZ",56039.25641025641,68407.41025641025
2,"Decatur","IL",56016.583333333336,47799.333333333336
1,"Anderson","SC",56014.333333333336,101354.44444444444
1,"Palm Bay","FL",55990.375,43632.375
1,"Montrose","MI",55985.5,47341
2,"Hesperia","CA",55908.75,51387.75
2,"Saint Clairsville","OH",55903,46690
1,"Kingsport","TN",55899.25,42612.875
3,"Avondale","AZ",55891.25,54213
2,"Springfield","OH",55848.857142857145,80910.78571428571
1,"Cambridge","OH",55740.666666666664,49204.333333333336
1,"Billings","MT",55707.916666666664,89123.41666666667
1,"Miami Gardens","FL",55673.4,45177.6
2,"Wyoming","MI",55668.4,146328.6
1,"Kirksville","MO",55592.5,44339.5
1,"Hudsonville","MI",55531,39775
2,"Jacksonville","NC",55469.5,95105
1,"Wagoner","OK",55349,300000
7,"Jacksonville","FL",55344.40677966102,70440.15254237287
2,"Pullman","WA",55335,45840.5
1,"Wickliffe","OH",55334.5,49188.5
1,"Ephrata","PA",55294.666666666664,45614.333333333336
2,"Campbellsville","KY",55225.5,41653.5
2,"Wichita Falls","TX",55137.333333333336,61753.8
3,"Pekin","IL",55117,125328.33333333333
1,"Indio","CA",55105.8,45309.6
3,"Citrus Heights","CA",55089.75,79440.375
1,"Aberdeen","SD",55044,47793.333333333336
2,"Lubbock","TX",55025.318181818184,56733.545454545456
1,"Marion","VA",55019,39708.333333333336
2,"Saint Clair","PA",55003,46711
2,"Ashland","KY",55000.333333333336,43936.666666666664
1,"Hyde Park","MA",54998.5,45020
1,"Lincoln","IL",54975,51174.5
2,"Lebanon","PA",54842.75,49660.5
3,"Warner Robins","GA",54812.5,126728
1,"Saint Marys","OH",54804,39445
1,"Taylorville","IL",54757,42989
1,"Hawkinsville","GA",54743,45688
1,"Ravenna","OH",54672.666666666664,46722
1,"Las Cruces","NM",54668.07142857143,59034.42857142857
2,"Cleveland","TN",54643.71428571428,45505.71428571428
1,"Bridgeport","MI",54632,54908
1,"Hemet","CA",54605.333333333336,42557.22222222222
1,"Monroe","GA",54562.666666666664,45541.666666666664
1,"Fitchburg","MA",54553.25,111213
1,"Dalton","GA",54479,65579.22222222222
3,"Rockford","IL",54458.63999999999,68497.16
1,"Martins Ferry","OH",54383.5,45350.5
9,"Indianapolis","IN",54372.035714285725,58630.416666666664
2,"Alpena","MI",54361.8,40435.4
1,"Scottsbluff","NE",54356.5,38949.5
2,"Lake Worth","FL",54346.4,39599.4
1,"Oneida","NY",54322,46080
1,"Goldsboro","NC",54314,42700.6
2,"Junction City","KS",54279.5,41483.5
1,"Missoula","MT",54189.333333333336,66112.77777777778
1,"Essex Junction","VT",54178,56778
1,"Sidney","OH",54173.333333333336,133444.33333333334
2,"Cartersville","GA",54156,127985.33333333333
3,"Hagerstown","MD",54142,45145.5
1,"Inglewood","CA",54139.454545454544,42972.545454545456
1,"Apache Junction","AZ",54092.666666666664,122305.66666666667
2,"Bradenton","FL",54056.25,57166.55
1,"Aledo","IL",54015,46321
2,"Adairsville","GA",53935,55242
1,"Wausau","WI",53926.6,43129.4
2,"North Las Vegas","NV",53911,46264.230769230766
3,"Yuma","AZ",53900.8125,72538.4375
1,"Atoka","OK",53881,33273
2,"Maysville","KY",53833.666666666664,32979.333333333336
1,"Seaford","DE",53812.5,43612
1,"Alice","TX",53805,30317.5
1,"El Paso","TX",53773.484375,75852.015625
1,"Berwick","PA",53762.5,110317.25
1,"Sumter","SC",53736.22222222222,70230.66666666667
2,"Joliet","IL",53728.53846153846,65947.69230769231
2,"Crawfordsville","IN",53723.5,43736.75
1,"National City","CA",53709,41104.5
1,"West Monroe","LA",53697.25,42880.75
1,"Nogales","AZ",53646,43252
1,"Kenly","NC",53492,40627.5
1,"Middlefield","OH",53457,42852
1,"Bowdon","GA",53423,38615
4,"Greensboro","NC",53407.07407407407,60370.7037037037
1,"Elyria","OH",53401.666666666664,48687.166666666664
1,"Knoxville","IA",53371,40868
1,"Newton Falls","OH",53341,44491
1,"Providence","RI",53309.15789473684,92500.31578947368
1,"Martinsville","VA",53262.75,41950
1,"Hampton","VA",53259.357142857145,57586.42857142857
2,"Thibodaux","LA",53223.5,47971.5
1,"North Versailles","PA",53201.5,40956.5
1,"Oglesby","IL",53132,51210
2,"Mobridge","SD",53131,41848
2,"Kansas City","MO",53109.637931034486,69118.20689655172
1,"Salisbury","MD",53057.5,107716.75
1,"Albany","OR",52950,49922.25
1,"Syracuse","NY",52921.208333333336,69047.04166666667
1,"Shelbyville","IN",52869,44802.666666666664
2,"Compton","CA",52853.5,43186
1,"Clarkston","WA",52793.333333333336,40994
1,"Guthrie","OK",52749,50762
1,"Ottumwa","IA",52727.8,88099.4
1,"Covington","GA",52697.8,91719.6
3,"Delavan","WI",52655.5,43139
1,"Sevierville","TN",52605,108209.5
2,"Lancaster","CA",52545.78571428572,42524.57142857143
1,"Longview","WA",52511.333333333336,45030.666666666664
8,"Philadelphia","PA",52394.29310344828,66293.7643678161
1,"North Bend","OR",52347,41439
1,"Imperial Beach","CA",52337.666666666664,46903
4,"Fayetteville","NC",52299.15789473684,42744.78947368421
2,"Biloxi","MS",52263.125,74818.5
1,"La Crosse","WI",52260.142857142855,78039.57142857143
1,"Connersville","IN",52241.333333333336,47845.333333333336
1,"Newton","NC",52231.5,43186.5
1,"Great Falls","MT",52175.88888888889,44438.555555555555
2,"Lithonia","GA",52168,174142.75
4,"Gainesville","GA",52154.333333333336,70826.88888888889
1,"Ashland","OH",52144.333333333336,84089.16666666667
1,"Murphy","NC",52143,37521
1,"Roseburg","OR",52105,127799.66666666667
1,"Twin Falls","ID",52087.333333333336,39545.666666666664
1,"Byesville","OH",52074,44251
1,"Greenville","SC",52054.78947368421,51901.42105263158
1,"Sun City","AZ",52042,44224
2,"Conover","NC",52001.75,43762
1,"Quincy","FL",51983,126160.33333333333
1,"Beech Grove","IN",51950.666666666664,127353.33333333333
1,"Mansfield","OH",51937.71428571428,76243.85714285714
2,"Grantsville","MD",51930,39725
2,"Dodge City","KS",51912.333333333336,128722.33333333333
8,"Springfield","MA",51910.705882352944,94147.41176470589
1,"Wooster","OH",51899,41915.2
2,"Loganville","GA",51882,173908.5
1,"North Vernon","IN",51852.5,44468
3,"Yakima","WA",51842,65828.54545454546
1,"Marshalltown","IA",51841.666666666664,52663.666666666664
1,"Circleville","OH",51824.25,45265.75
1,"Pasadena","TX",51702.61538461538,43787.92307692308
1,"New Albany","IN",51673.166666666664,40293.666666666664
2,"Turlock","CA",51614.71428571428,76834.42857142857
1,"Nampa","ID",51590.5,103551.75
5,"Akron","OH",51568.142857142855,50195.68571428571
4,"Lexington","NC",51472,70092.875
1,"Jonesboro","GA",51456.75,47282.75
1,"Cornersville","TN",51436,44931.5
3,"Medford","OR",51416.125,105092.375
8,"Chattanooga","TN",51403.2380952381,77834.90476190476
2,"Bellefontaine","OH",51386.25,112141.75
1,"Ferdinand","IN",51358,44461
1,"Grants Pass","OR",51334.4,142284.6
1,"Burton","MI",51319.666666666664,42308.333333333336
3,"Abilene","TX",51258.923076923085,79425.53846153847
2,"New Orleans","LA",51234.30303030303,47154.969696969696
1,"Bridgeview","IL",51224,30898
3,"Shreveport","LA",51218.916666666664,60883.583333333336
1,"Toccoa","GA",51213.666666666664,118808.33333333333
1,"Greenwood","SC",51189.4,143705.2
2,"Monmouth","IL",51173,36554
1,"West Frankfort","IL",51170,40865
1,"Oneida","TN",51127,31853
1,"North Chicago","IL",51108,40616.5
1,"Lakewood","WA",51032.833333333336,81153.83333333333
5,"Lima","OH",51029.3,41430.2
1,"Parkersburg","WV",51022,78166.33333333333
1,"Coos Bay","OR",51011.5,35808.75
1,"Jackson","MI",50927.692307692305,79264.23076923077
9,"Oklahoma City","OK",50889.22727272728,59865
2,"Peoria","IL",50822.666666666664,60333.75
2,"Savannah","GA",50793.04,72294.48
3,"Barstow","CA",50790.333333333336,43055.333333333336
2,"Gastonia","NC",50753.09090909091,86124.18181818182
1,"Springfield","OR",50747.71428571428,42420.142857142855
1,"Longview","TX",50653.333333333336,68202.66666666667
1,"Warren","MI",50617,66901.11111111111
1,"Chamberlain","SD",50613.5,42901
1,"Farmville","VA",50611,34754
1,"San Marcos","TX",50558.8,41955.4
1,"Randleman","NC",50526,38130
2,"Belle Glade","FL",50462.5,42417.25
1,"Bloomsburg","PA",50407.333333333336,31415.333333333332
4,"Milledgeville","GA",50398.75,46119.25
1,"Mount Carmel","IL",50333,42030.5
3,"Newport News","VA",50323.17647058823,83365.5294117647
1,"Drumright","OK",50263,36529
2,"New Philadelphia","OH",50129,36213.75
1,"Columbia","TN",50089,41998.75
3,"Milwaukee","WI",50052.506172839516,61747.01234567901
1,"Saint Cloud","MN",50037.42857142857,40112
2,"Defiance","OH",50036.333333333336,36573
1,"Sanford","ME",49993,40585.333333333336
1,"Mount Airy","NC",49971.4,140926.2
1,"Toppenish","WA",49958,164049.5
3,"Tulare","CA",49913.6,38866.6
1,"Elizabeth City","NC",49910.8,191036.6
1,"Hazelwood","MO",49905.5,46042.5
1,"Ocala","FL",49889.57142857143,76606.57142857143
1,"Worthington","MN",49883.75,41735
2,"Houma","LA",49868.6,39116.4
1,"Wayne","MI",49762.5,38931
1,"Titusville","PA",49740,45871
2,"Lake Elsinore","CA",49658.25,105874.5
2,"Brooksville","FL",49644,37784.5
2,"Evansville","IN",49594.09523809524,78885
1,"Rusk","TX",49529,42634
2,"Carthage","NC",49475.5,33423.5
15,"Columbus","OH",49446.906666666655,57126.933333333334
1,"Deltona","FL",49445.666666666664,42101.666666666664
5,"Erie","PA",49424.55,75668.05
6,"Kalamazoo","MI",49402.75,55050.125
1,"Gainesville","TX",49382,33649
1,"Frostburg","MD",49380.666666666664,33645
1,"Charlevoix","MI",49371.5,36323
1,"Morganton","NC",49350.28571428572,42600
1,"Grandview","MO",49349.5,41627
4,"Lake Charles","LA",49340.166666666664,36698.25
1,"Houghton Lake","MI",49290.333333333336,34700.333333333336
1,"Wilburton","OK",49248,35054
1,"Winslow","AZ",49246,117110.33333333333
4,"Layton","UT",49216,157249
1,"Beeville","TX",49061,46535
2,"Ellijay","GA",49059.333333333336,40210
1,"Barnesville","GA",48963.333333333336,35453.333333333336
1,"East Lansing","MI",48868.71428571428,68280.85714285714
8,"Dayton","OH",48861.58333333333,49566.083333333336
1,"Berea","KY",48847.5,39655.5
1,"Bluffton","IN",48832.333333333336,39583.333333333336
2,"Birmingham","AL",48808.166666666664,46903.27777777778
1,"Independence","KS",48722,38431.5
3,"Newark","OH",48711.8888888889,66968.55555555556
1,"Alliance","OH",48708.2,40592.2
1,"Mount Pleasant","IA",48686.5,42469
1,"Louisburg","NC",48621,35572.333333333336
1,"Arcadia","FL",48594.333333333336,126342.33333333333
1,"Cleveland","TX",48569,25214
1,"Smithfield","NC",48555,35611
1,"Valdosta","GA",48521,39919.88888888889
1,"Griffin","GA",48498.5,41016.75
1,"Provo","UT",48474.1,60890.3
2,"Haines City","FL",48449.333333333336,123057.66666666667
1,"Deer Lodge","MT",48336,42402
2,"Gallatin","TN",48310,37395.5
1,"Eunice","LA",48302.5,34792
2,"Portsmouth","VA",48241.454545454544,42045.63636363636
1,"Durant","OK",48229.5,39331.25
1,"Columbus","MS",48220.4,38166.2
1,"New Port Richey","FL",48054.692307692305,39208.53846153846
1,"Fort Walton Beach","FL",47975.71428571428,74298.14285714286
1,"Ruston","LA",47941.75,34041
4,"Pensacola","FL",47905.846153846156,79827.5
1,"Pickens","SC",47824.333333333336,39344.333333333336
2,"Pearl","MS",47821.25,105573.75
2,"Urbana","IL",47744.75,99017.5
1,"Mocksville","NC",47694,39297
8,"Augusta","GA",47681.13333333333,66870.86666666667
1,"Tivoli","TX",47659,34375
1,"Toronto","OH",47582,44002.333333333336
1,"Bolivar","TN",47564,35947
1,"Dunn","NC",47505,29041.5
1,"Arapahoe","NE",47478.5,37517.5
1,"Penitas","TX",47424,38373
1,"Bastrop","LA",47418.666666666664,33411
1,"Farmington","MO",47345,39082
3,"Lincoln Park","MI",47273.4,40250.2
1,"Columbus","GA",47256.88888888889,52698.055555555555
1,"Barberton","OH",47251,87538.8
10,"Bronx","NY",47248.18791946309,52956.26845637584
2,"Clarksdale","MS",47223,39346.333333333336
1,"Girard","OH",47172,35925
2,"Newport","OR",47090,24483
1,"Cordele","GA",47084.333333333336,33077.666666666664
1,"Denison","TX",47079.25,104562.25
1,"Troy","AL",47058.5,35027
1,"Clarksburg","WV",47033.5,35642
1,"Nashville","GA",47001,37340
1,"Cicero","IL",46939.142857142855,151544
2,"Hinesville","GA",46869,40009
1,"Spearfish","SD",46868,32031
1,"Killeen","TX",46827.454545454544,63647.27272727273
1,"Kings Mountain","NC",46825.5,36212
5,"Jackson","MS",46776.22727272727,39673.954545454544
1,"Rantoul","IL",46698.5,41023
2,"Asheboro","NC",46651.5,35505.75
5,"Saginaw","MI",46586.833333333336,65869.66666666667
2,"Albert Lea","MN",46557.666666666664,37826.333333333336
4,"Taylor","MI",46429.57142857143,37958.42857142857
1,"Blue Ridge","GA",46424.5,37675.5
2,"Albany","GA",46413.53846153846,54255.46153846154
1,"Niagara Falls","NY",46315.77777777778,97096.11111111111
1,"Buckhannon","WV",46293,35432
1,"Avon Park","FL",46281.333333333336,40508
3,"Rome","GA",46280.333333333336,79074.66666666667
1,"Colton","CA",46271.2,91520.4
1,"Arkansas City","KS",46179.333333333336,37196.333333333336
1,"Cadillac","MI",46171,44624.5
1,"Libby","MT",45988.5,24291
1,"Poteau","OK",45978,39850
2,"East Liverpool","OH",45963.333333333336,38944.333333333336
3,"Beckley","WV",45882,26672.5
1,"Checotah","OK",45857.5,33314.5
3,"Gainesville","FL",45673.07142857143,36414.21428571428
1,"Chattahoochee","FL",45631.5,34604.5
1,"Washington Court House","OH",45621,36694
1,"Tarboro","NC",45562.5,34797.5
1,"Shepherdsville","KY",45421,38483
1,"Elkhart","IN",45321.444444444445,96677.22222222222
1,"Vermillion","SD",45280,28622.5
1,"Belle Vernon","PA",45255,29148
1,"Kansas City","KS",45206.80952380953,61596.333333333336
1,"Spencer","MA",45163,36772
2,"Effingham","IL",45144.5,38648
1,"John Day","OR",45138,32439
1,"Merced","CA",45038.818181818184,81762.72727272728
4,"Toledo","OH",44954.78048780488,54879.26829268293
1,"Florence","OR",44932,35109
1,"Bladenboro","NC",44886.5,32643
3,"Morrow","GA",44877.5,35844
1,"Cedartown","GA",44869,27568.5
1,"Fort Scott","KS",44852,37898
1,"Madison","TN",44818.25,34974
1,"Bluefield","WV",44778,32217
1,"New Lexington","OH",44756,40996
1,"Rockmart","GA",44585.5,30825.5
2,"Show Low","AZ",44578,31339.5
2,"Tyler","TX",44496.9,33631.8
1,"Rock Falls","IL",44491.333333333336,34781.333333333336
6,"Buffalo","NY",44445.6046511628,67380.67441860466
1,"Wapakoneta","OH",44396,35943
1,"Eloy","AZ",44278,33071.5
1,"Mattoon","IL",44221.75,34533.5
6,"Memphis","TN",44200.484375,42254
1,"Burley","ID",44136,174924.5
1,"Leitchfield","KY",43982,35993
1,"Fort Smith","AR",43954.6,34863.1
1,"Dunlap","TN",43877,28424
2,"Zanesville","OH",43846.5,32069.5
2,"Waco","TX",43830.5,67087.625
1,"West Branch","MI",43606.666666666664,33234.333333333336
1,"Marshall","MI",43426,35616
1,"Metter","GA",43320.5,34954
1,"Bryan","TX",43242,70012.28571428571
1,"Bangor","ME",43136.666666666664,30286.666666666668
1,"Thief River Falls","MN",43090,36531
1,"Morristown","TN",43042,33138
1,"Harrisburg","IL",43034.5,33856
1,"Ada","OK",42968,34875.333333333336
4,"Hialeah","FL",42962.529411764706,32107.176470588234
1,"Okeechobee","FL",42946,34171.5
2,"Middletown","OH",42924.125,33542
1,"Niles","OH",42824,35621
1,"Clinton","TN",42820,30409
3,"Youngstown","OH",42814.58823529412,77428.05882352941
1,"Eatonton","GA",42792.5,32858.5
1,"Loretto","TN",42790,32511
3,"Jackson","TN",42781.833333333336,37818.833333333336
1,"Gulfport","MS",42748.3,33135
1,"Spring Lake","NC",42733.333333333336,31682.666666666668
1,"Fort Pierce","FL",42724.666666666664,33675
2,"Cleburne","TX",42717.333333333336,32642
1,"Macomb","IL",42702,30484
1,"Uvalde","TX",42644.6,29336.8
3,"Spartanburg","SC",42595.28571428572,33947
1,"Moss Point","MS",42403.333333333336,121388.66666666667
2,"Piedmont","SC",42231.5,34373
1,"Cumberland","MD",42230.75,98708.75
2,"Lawton","OK",42194.6,56810.8
5,"Lansing","MI",42040.3125,50029.875
1,"Mullins","SC",41929.5,93845.5
6,"Macon","GA",41917.625,46370.9375
1,"Atlantic Beach","FL",41673,33570
1,"Pulaski","VA",41621,40012
1,"Kinston","NC",41615,87261
1,"Jonesboro","AR",41214.5,38266.666666666664
1,"Americus","GA",40788.4,25832.2
1,"Shelby","NC",40679.28571428572,31680
1,"Ontario","OR",40546.25,31504.5
2,"Monroe","LA",40518.416666666664,32956.5
1,"Dearborn","MI",40497.38461538462,32456.46153846154
1,"Hartwell","GA",40275.5,25896.5
1,"Graceville","FL",40247.5,28689.5
1,"Shelbyville","TN",40155.5,27796.5
1,"Eagle Pass","TX",40067.6,30545.2
1,"Burlington","NC",39861.5,64996.125
1,"Beaumont","TX",39811.21428571428,80790.5
1,"Healdton","OK",39668,38603
1,"Muncie","IN",39664.6,55443
1,"Ottawa","IL",39508,32603
2,"Danville","VA",39255.833333333336,28902
1,"Palatka","FL",39220.5,30383
2,"Marquette","MI",39145.5,32121.5
1,"Gaffney","SC",39010.142857142855,69874
1,"Hazel Park","MI",38950,31871.5
1,"Sherman","TX",38905.333333333336,28508
2,"Park Hills","MO",38863.666666666664,28590.333333333332
1,"Camden","NJ",38783.11111111111,55402.88888888889
1,"Red Springs","NC",38651.666666666664,25804
1,"Elberton","GA",38615.5,34291
1,"Dayton","TN",38409.5,27498.5
2,"Huntington Park","CA",38400,32094.666666666668
1,"Lawrenceville","VA",38389,32190.5
1,"Snow Hill","NC",38325,27386
1,"Mount Pleasant","MI",38320.333333333336,27424.666666666668
1,"Winnfield","LA",38288,26066
1,"Cedar City","UT",38278.5,29677.5
1,"Farmerville","LA",38268,16580
11,"Cleveland","OH",37589.323529411755,35241.544117647056
1,"Livingston","TN",37508,24838
1,"Presque Isle","ME",37396,31989.5
1,"Greeneville","TN",37374,30781.2
1,"Quitman","GA",37361.333333333336,28869
1,"Frackville","PA",37247,32020
1,"Fremont","OH",37112,27091.5
1,"Haleyville","AL",36736,20436
1,"Bonifay","FL",36730.666666666664,27528.333333333332
1,"Prosser","WA",36621,33324
1,"Daytona Beach","FL",36619.5,62134.625
1,"Union","SC",36560.25,27537.25
4,"Lenoir","NC",36395,95215.5
1,"Pulaski","TN",36316,23832
5,"Flint","MI",36224.041666666664,61869.875
1,"Brookhaven","MS",35964.5,26562.5
1,"Oak Ridge","TN",35847.25,27806.25
1,"Broken Bow","OK",35780,20809
6,"Detroit","MI",35734.86363636364,26177.263636363637
1,"Marion","IN",34931.666666666664,28218
1,"Monett","MO",34859,25100
1,"Hillsdale","MI",34800,24139
1,"Hamilton","TX",33599,300000
1,"Fitzgerald","GA",33164,30829.5
1,"Belton","SC",32658,19265
1,"Miami","OK",32534,21399
1,"Dexter","MO",32498,24819
1,"Sayre","PA",31469,19511
1,"Bartow","FL",31427,27682
1,"Ocilla","GA",30844,20999
1,"Kankakee","IL",30778.5,18765
3,"Opelousas","LA",30730.333333333332,19504.333333333332
1,"Greenville","AL",30564,21911
1,"Cleveland","MS",30117.5,18467
1,"Ellsworth","ME",29615,20696
1,"Eden","NC",28928,21151
1,"Parker","AZ",27839,21700
1,"Vandalia","IL",27773,17235
1,"West Helena","AR",27759.5,18927.5
1,"Central","SC",27406.5,22533
1,"Williamsburg","KY",27360,25582
1,"Clare","MI",27267,23233.5
1,"Hope","AR",27119.5,24509
2,"Eastland","TX",24793,21384
1,"Walton","NY",24505,14313
1,"El Paso","IL",0,0
1,"Winner","SD",0,0
2,"South Burlington","VT",0,0
